id,A,B,length,freespeed,capacity
500,1124,1123,250,15.278,1080
501,1124,1217,171,15.278,1080
502,1125,1126,215,8.333,660
503,1125,1128,260,8.333,480
504,1126,1125,215,8.333,660
505,1126,1127,123,6.944,600
506,1126,1218,111,12.500,960
507,1127,1126,123,6.944,600
508,1127,1130,204,15.278,1080
509,1128,1129,154,12.500,960
510,1128,1252,22,12.500,960
511,1129,1126,237,12.500,960
512,1129,1128,154,12.500,960
513,1129,1130,132,12.500,960
514,1130,1129,132,12.500,960
515,1130,1223,116,12.500,960
516,1130,1229,56,12.500,960
517,1131,1132,143,5.556,480
518,1131,1220,67,9.722,600
519,1132,1221,70,8.333,480
520,1133,1134,68,8.333,660
521,1133,1222,110,8.333,660
522,1134,1133,68,8.333,660
523,1134,1135,121,8.333,660
524,1134,1223,121,12.500,960
525,1134,1250,66,12.500,960
526,1135,1134,121,8.333,660
527,1135,1136,108,8.333,660
528,1135,1229,231,8.333,660
529,1135,1251,58,8.333,660
530,1136,1135,108,8.333,660
531,1136,1137,98,8.333,660
532,1136,1226,162,8.333,660
533,1136,1230,214,8.333,660
534,1137,1136,98,8.333,660
535,1137,1138,176,8.333,660
536,1137,1227,137,8.333,660
537,1138,1137,176,8.333,660
538,1138,1230,106,12.500,960
539,1138,1231,100,12.500,960
540,1139,1248,27,12.500,960
541,1139,1249,25,12.500,1200
542,1139,1290,150,12.500,1200
543,1140,1142,590,12.500,1200
544,1140,1290,150,12.500,1200
545,1140,1341,226,5.556,300
546,1141,1145,209,12.500,960
547,1141,1232,386,12.500,960
548,1141,1342,206,5.556,300
549,1142,1140,590,12.500,1200
550,1142,1263,1138,12.500,1200
551,1143,1144,236,8.333,660
552,1143,1274,154,12.500,960
553,1143,1284,316,12.500,960
554,1144,1046,438,12.500,960
555,1144,1143,236,8.333,660
556,1144,1276,47,12.500,960
557,1145,1103,386,11.111,600
558,1145,1141,209,12.500,960
559,1145,1270,404,12.500,960
560,1146,1123,568,12.500,960
561,1146,1147,2000,11.111,600
562,1146,1346,600,12.500,960
563,1147,1146,2000,11.111,600
564,1147,1150,1728,11.111,600
565,1147,1349,548,11.111,600
566,1148,1233,41,12.500,960
567,1148,1285,344,12.500,960
568,1148,1348,560,11.111,600
569,1149,1151,1443,8.333,480
570,1149,1285,344,12.500,960
571,1149,1347,1395,12.500,960
572,1150,1147,1728,11.111,600
573,1150,1233,1163,12.500,960
574,1150,1234,1380,12.500,960
575,1151,1149,1443,8.333,480
576,1151,1215,844,12.500,1200
577,1151,1351,312,12.500,1200
578,1152,1155,726,12.500,1200
579,1152,1236,422,8.333,660
