id,A,B,length,freespeed,capacity
90,102,1102,100,30.000,10000
91,103,1103,100,30.000,10000
92,104,1104,100,30.000,10000
93,105,1105,100,30.000,10000
94,106,1106,100,30.000,10000
95,107,1107,100,30.000,10000
96,108,1108,100,30.000,10000
97,109,1109,100,30.000,10000
98,110,1110,100,30.000,10000
99,111,1111,100,30.000,10000
100,112,1112,100,30.000,10000
101,113,1113,100,30.000,10000
102,114,1114,100,30.000,10000
103,115,1115,100,30.000,10000
104,116,1116,100,30.000,10000
105,117,1117,100,30.000,10000
106,118,1118,100,30.000,10000
107,119,1119,100,30.000,10000
108,120,1120,100,30.000,10000
109,121,1121,100,30.000,10000
110,122,1122,100,30.000,10000
111,123,1123,100,30.000,10000
112,124,1124,100,30.000,10000
113,125,1125,100,30.000,10000
114,126,1126,100,30.000,10000
115,127,1127,100,30.000,10000
116,128,1128,100,30.000,10000
117,129,1129,100,30.000,10000
118,130,1130,100,30.000,10000
119,131,1131,100,30.000,10000
120,132,1132,100,30.000,10000
121,133,1133,100,30.000,10000
122,134,1134,100,30.000,10000
123,135,1135,100,30.000,10000
124,136,1136,100,30.000,10000
125,137,1137,100,30.000,10000
126,138,1138,100,30.000,10000
127,139,1139,100,30.000,10000
128,140,1140,100,30.000,10000
129,141,1141,100,30.000,10000
130,142,1142,100,30.000,10000
131,143,1143,100,30.000,10000
132,144,1144,100,30.000,10000
133,145,1145,100,30.000,10000
134,146,1146,100,30.000,10000
135,147,1147,100,30.000,10000
136,148,1148,100,30.000,10000
137,149,1149,100,30.000,10000
138,150,1150,100,30.000,10000
139,151,1151,100,30.000,10000
140,152,1152,100,30.000,10000
141,153,1153,100,30.000,10000
142,154,1154,100,30.000,10000
143,155,1155,100,30.000,10000
144,156,1156,100,30.000,10000
145,157,1157,100,30.000,10000
146,158,1158,100,30.000,10000
147,159,1159,100,30.000,10000
148,160,1160,100,30.000,10000
149,161,1161,100,30.000,10000
150,162,1162,100,30.000,10000
151,163,1163,100,30.000,10000
152,164,1164,100,30.000,10000
153,165,1165,100,30.000,10000
154,166,1166,100,30.000,10000
155,167,1167,100,30.000,10000
156,200,1013,100,30.000,10000
157,201,1014,100,30.000,10000
158,1001,1,100,30.000,10000
159,1002,2,100,30.000,10000
160,1003,3,100,30.000,10000
161,1004,4,100,30.000,10000
162,1005,5,100,30.000,10000
163,1006,6,100,30.000,10000
164,1007,7,100,30.000,10000
165,1008,8,100,30.000,10000
166,1009,9,100,30.000,10000
167,1010,10,100,30.000,10000
168,1011,11,100,30.000,10000
169,1012,12,100,30.000,10000
170,1013,200,100,30.000,10000
171,1013,1014,139,12.500,1980
172,1013,1025,110,5.556,300
173,1014,201,100,30.000,10000
174,1014,1015,179,12.500,1980
175,1014,1020,124,12.500,960
176,1015,1016,71,8.333,480
177,1015,1173,147,12.500,1980
178,1015,1239,63,5.556,300
179,1016,1015,71,8.333,480
180,1016,1017,178,8.333,480
181,1017,1118,58,8.333,480
182,1017,1168,50,8.333,480
183,1018,1170,51,8.333,480
184,1019,1253,55,12.500,960
185,1019,1254,23,12.500,960
186,1020,1014,124,12.500,960
187,1020,1025,154,5.556,300
188,1020,1169,80,8.333,480
189,1020,1253,23,12.500,960
190,1021,1022,104,12.500,1980
191,1021,1175,76,5.556,300
192,1022,1063,172,12.500,960
193,1022,1065,98,4.167,300
194,1022,1175,145,12.500,1980
195,1022,1323,93,12.500,960
196,1023,1181,22,9.722,780
197,1023,1241,22,12.500,1980
198,1024,1174,37,6.944,600
199,1024,1182,80,8.333,660
200,1025,1013,110,5.556,300
201,1025,1328,45,6.944,360
202,1026,1027,72,12.500,960
203,1026,1159,165,6.944,360
204,1026,1281,38,12.500,960
205,1027,1026,72,12.500,960
206,1027,1326,50,12.500,960
207,1028,1029,248,12.500,960
208,1028,1281,263,12.500,960
209,1028,1324,178,12.500,960
210,1029,1028,248,12.500,960
211,1029,1279,162,12.500,960
212,1029,1282,172,8.333,660
213,1030,1032,312,12.500,960
214,1030,1279,97,12.500,960
215,1030,1322,205,12.500,960
216,1031,1184,150,8.333,660
217,1031,1282,150,8.333,660
218,1031,1321,124,11.111,780
219,1032,1030,312,12.500,960
220,1032,1194,105,12.500,960
221,1032,1280,93,11.111,780
222,1033,1036,141,12.500,960
223,1033,1105,66,12.500,960
224,1033,1185,83,12.500,960
225,1033,1325,142,12.500,960
226,1034,1036,153,6.944,600
227,1034,1106,84,6.944,600
228,1034,1185,119,12.500,960
229,1034,1330,88,12.500,960
230,1035,1189,106,12.500,960
231,1035,1208,94,12.500,960
232,1035,1275,111,12.500,960
233,1035,1277,68,12.500,960
234,1036,1033,141,12.500,960
235,1036,1034,153,6.944,600
236,1036,1038,142,11.111,780
237,1036,1185,105,6.944,360
238,1036,1209,57,12.500,960
239,1037,1105,42,12.500,960
240,1037,1110,170,12.500,960
241,1037,1163,103,8.333,660
242,1038,1036,142,11.111,780
243,1038,1039,126,11.111,780
244,1038,1108,64,6.944,600
245,1038,1163,122,11.111,780
246,1039,1038,126,11.111,780
247,1039,1045,257,8.333,660
248,1039,1167,332,11.111,780
249,1040,1043,115,12.500,960
250,1040,1110,230,12.500,960
251,1040,1167,513,11.111,780
252,1040,1191,551,8.333,660
253,1041,1192,75,12.500,960
254,1041,1294,208,8.333,660
255,1041,1295,152,12.500,960
256,1042,1043,295,12.500,1500
257,1042,1267,313,12.500,1500
258,1042,1294,208,8.333,660
259,1043,1040,115,12.500,960
260,1043,1042,295,12.500,1500
261,1043,1192,216,12.500,960
262,1043,1296,122,12.500,1500
263,1044,1047,124,8.333,660
264,1044,1048,514,11.111,780
265,1044,1193,508,12.500,1500
266,1044,1267,162,12.500,1500
267,1045,1039,257,8.333,660
268,1045,1047,452,8.333,660
269,1045,1247,17,8.333,660
270,1046,1047,430,8.333,660
271,1046,1144,438,12.500,960
272,1046,1193,128,12.500,960
273,1047,1044,124,8.333,660
274,1047,1045,452,8.333,660
275,1047,1046,430,8.333,660
276,1048,1044,514,11.111,780
277,1048,1049,170,11.111,780
278,1048,1050,683,11.111,780
279,1049,1048,170,11.111,780
280,1049,1207,455,11.111,780
281,1050,1048,683,11.111,780
282,1050,1293,1116,12.500,960
283,1050,1295,152,12.500,960
284,1050,1304,342,11.111,780
285,1051,1052,338,15.278,1260
286,1051,1053,374,8.333,660
287,1051,1194,82,15.278,1260
288,1052,1051,338,15.278,1260
289,1052,1268,385,15.278,1260
290,1052,1307,8,11.111,780
291,1053,1051,374,8.333,660
292,1053,1054,356,8.333,660
293,1053,1184,140,8.333,660
294,1054,1053,356,8.333,660
295,1054,1305,130,11.111,780
296,1054,1306,231,11.111,780
297,1055,1057,44,12.500,960
298,1055,1101,529,9.722,780
299,1055,1195,60,12.500,1500
300,1055,1311,159,12.500,1500
301,1056,1197,142,8.333,660
302,1056,1310,186,12.500,1500
